Personal Task 1,Decription Personal Task 1,Personal,True
Personal Task 2,Decription Personal Task 2,Personal,False
Work Task 1,Work Decription Task 1,Work,True
Work Task 2,Work Decription Task 2,Work,False
Errands Task 1,Decription Errands Task 1,Errands,True
Errands Task 2,Decription Errands Task 2,Errands,False
Other Task 1,Other Task Decription 1,Other,True
Other Task 2,Other Task Decription 2,Other,False
Personal Task 1,Decription Personal Task 1,Personal,True
Personal Task 2,Decription Personal Task 2,Personal,False
Work Task 1,Work Decription Task 1,Work,True
Work Task 2,Work Decription Task 2,Work,False
Errands Task 1,Decription Errands Task 1,Errands,True
Errands Task 2,Decription Errands Task 2,Errands,False
Other Task 1,Other Task Decription 1,Other,True
Other Task 2,Other Task Decription 2,Other,False
